# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
1275837at2759	Complete	FBtr0330237	404.5	243
1284731at2759	Complete	FBtr0345430	100.8	120
1287094at2759	Complete	FBtr0308602	160.9	127
1287401at2759	Complete	FBtr0079098	262.0	162
1291729at2759	Complete	FBtr0346350	67.9	108
1304061at2759	Complete	FBtr0074747	178.0	154
1309031at2759	Complete	FBtr0070182	310.7	375
1312453at2759	Complete	FBtr0081986	645.9	676
1314980at2759	Complete	FBtr0085357	552.9	502
1322299at2759	Complete	FBtr0074891	389.7	350
1322642at2759	Complete	FBtr0089944	180.9	156
1323575at2759	Complete	FBtr0070209	170.3	113
1324510at2759	Complete	FBtr0088176	291.8	271
1338131at2759	Complete	FBtr0079874	256.9	139
1339553at2759	Complete	FBtr0079682	229.3	261
1342242at2759	Complete	FBtr0081902	175.5	177
1346165at2759	Complete	FBtr0076603	326.4	276
1346432at2759	Complete	FBtr0071251	108.3	188
1348942at2759	Complete	FBtr0080466	125.8	173
1355894at2759	Complete	FBtr0332482	220.4	141
1358374at2759	Complete	FBtr0088727	267.1	204
1364586at2759	Complete	FBtr0333543	115.6	151
1370285at2759	Complete	FBtr0088595	394.0	403
1370304at2759	Complete	FBtr0072280	305.4	497
1377237at2759	Complete	FBtr0070008	149.5	139
1379600at2759	Complete	FBtr0077462	457.6	499
1380409at2759	Complete	FBtr0071009	193.4	145
1382842at2759	Complete	FBtr0331449	128.3	120
1395649at2759	Complete	FBtr0340294	87.0	130
1398309at2759	Complete	FBtr0345470	87.7	109
1404162at2759	Complete	FBtr0082866	201.8	190
1405073at2759	Complete	FBtr0084704	226.9	158
1405146at2759	Complete	FBtr0082849	135.7	134
1407446at2759	Complete	FBtr0087202	61.4	105
1421503at2759	Complete	FBtr0083551	196.9	111
1423847at2759	Complete	FBtr0073820	273.7	269
1426075at2759	Complete	FBtr0075491	101.0	96
1428265at2759	Complete	FBtr0076939	201.8	226
1428854at2759	Complete	FBtr0076383	447.7	483
1430056at2759	Complete	FBtr0331530	114.9	123
1432328at2759	Complete	FBtr0075055	282.0	176
1434266at2759	Complete	FBtr0084975	128.7	134
1440961at2759	Complete	FBtr0077747	85.3	180
1441854at2759	Complete	FBtr0085863	247.6	209
1442062at2759	Complete	FBtr0331327	145.5	216
1445102at2759	Complete	FBtr0081279	288.0	191
1450538at2759	Complete	FBtr0072809	182.6	153
1454155at2759	Complete	FBtr0088255	81.4	178
1455730at2759	Complete	FBtr0333809	458.8	350
1459797at2759	Complete	FBtr0077154	70.8	96
1474000at2759	Complete	FBtr0079932	110.2	164
1479417at2759	Complete	FBtr0070894	295.7	176
1488235at2759	Complete	FBtr0087891	167.1	139
1488436at2759	Complete	FBtr0078787	127.6	62
1490022at2759	Complete	FBtr0074347	222.7	169
1504863at2759	Complete	FBtr0079730	174.6	147
1513531at2759	Complete	FBtr0081815	288.4	215
1525971at2759	Complete	FBtr0300011	106.1	79
1526152at2759	Complete	FBtr0072324	107.5	85
1530008at2759	Complete	FBtr0071639	125.6	86
1538526at2759	Complete	FBtr0333076	134.2	104
1545004at2759	Complete	FBtr0072791	112.6	72
1552706at2759	Complete	FBtr0076879	102.8	92
1558822at2759	Complete	FBtr0077048	118.5	66
1563319at2759	Complete	FBtr0085473	115.6	136
1567796at2759	Complete	FBtr0082406	145.0	132
1575179at2759	Complete	FBtr0080937	50.4	56
1576404at2759	Complete	FBtr0071324	142.5	163
1588798at2759	Complete	FBtr0080725	113.0	102
1593937at2759	Complete	FBtr0071842	107.3	148
1617752at2759	Complete	FBtr0087840	139.4	94
1620056at2759	Complete	FBtr0072084	72.6	87
1623701at2759	Complete	FBtr0347060	133.0	90
1626636at2759	Complete	FBtr0073243	124.8	123
1633672at2759	Complete	FBtr0084505	151.1	83
1645187at2759	Complete	FBtr0075483	50.0	54
