# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
671846at2759	Complete	Dbuz02929-RA	225.6	413
673132at2759	Complete	Dbuz02921-RA	298.6	273
674160at2759	Complete	Dbuz05991-RA	625.3	1265
674169at2759	Complete	Dbuz00828-RA	164.0	270
679187at2759	Complete	Dbuz08567-RA	366.7	423
679771at2759	Complete	Dbuz10342-RA	150.0	184
687505at2759	Complete	Dbuz02232-RA	216.7	228
692986at2759	Complete	Dbuz09782-RA	326.4	444
708105at2759	Complete	Dbuz02010-RA	148.2	215
719531at2759	Complete	Dbuz03845-RA	388.2	294
720340at2759	Complete	Dbuz02104-RA	193.8	257
721605at2759	Complete	Dbuz05041-RA	315.2	245
722805at2759	Missing
734341at2759	Complete	Dbuz12480-RA	131.3	173
734666at2759	Complete	Dbuz07050-RA	492.0	371
736068at2759	Complete	Dbuz07515-RA	293.2	316
751335at2759	Complete	Dbuz02325-RA	284.8	288
759498at2759	Complete	Dbuz06609-RA	571.8	419
761109at2759	Complete	Dbuz04536-RA	411.8	390
768809at2759	Complete	Dbuz12582-RA	257.7	268
774318at2759	Complete	Dbuz06049-RA	318.2	279
777920at2759	Complete	Dbuz09017-RA	409.5	347
779909at2759	Complete	Dbuz06216-RA	232.3	226
801857at2759	Complete	Dbuz10023-RA	246.0	221
814241at2759	Complete	Dbuz12529-RA	329.0	319
817008at2759	Complete	Dbuz00417-RA	486.7	296
834694at2759	Complete	Dbuz05173-RA	418.2	372
836599at2759	Complete	Dbuz12082-RA	421.9	315
844748at2759	Missing
855834at2759	Complete	Dbuz11137-RA	194.6	314
858842at2759	Complete	Dbuz06587-RA	237.9	243
865202at2759	Complete	Dbuz02602-RA	200.5	203
866359at2759	Complete	Dbuz05400-RA	366.4	261
869548at2759	Complete	Dbuz00661-RA	230.3	193
878143at2759	Complete	Dbuz03773-RA	200.1	299
887370at2759	Complete	Dbuz12228-RA	332.5	347
891751at2759	Complete	Dbuz11666-RA	239.0	185
898782at2759	Complete	Dbuz01078-RA	289.7	294
901894at2759	Complete	Dbuz07466-RA	311.9	332
905026at2759	Complete	Dbuz00862-RA	355.2	390
911863at2759	Complete	Dbuz06745-RA	237.8	211
917326at2759	Complete	Dbuz05364-RA	467.9	439
918816at2759	Complete	Dbuz06160-RA	171.8	225
919955at2759	Complete	Dbuz01257-RA	266.5	260
923657at2759	Complete	Dbuz04238-RA	161.3	173
924753at2759	Complete	Dbuz02773-RA	200.3	213
931188at2759	Complete	Dbuz06835-RA	489.5	342
937275at2759	Complete	Dbuz08584-RA	72.9	87
937686at2759	Complete	Dbuz02009-RA	401.1	340
939345at2759	Complete	Dbuz10515-RA	112.9	115
944899at2759	Complete	Dbuz02192-RA	372.4	240
946128at2759	Complete	Dbuz05719-RA	469.9	434
956854at2759	Complete	Dbuz03368-RA	187.0	178
973442at2759	Complete	Dbuz03819-RA	147.8	197
974865at2759	Missing
975158at2759	Complete	Dbuz10257-RA	241.6	276
975557at2759	Complete	Dbuz09076-RA	582.1	577
976469at2759	Complete	Dbuz05350-RA	203.3	236
981902at2759	Complete	Dbuz08947-RA	197.4	232
996662at2759	Complete	Dbuz07210-RA	190.7	189
1001705at2759	Complete	Dbuz05011-RA	293.7	269
1003258at2759	Missing
1010730at2759	Complete	Dbuz03262-RA	413.2	261
1014314at2759	Complete	Dbuz02629-RA	242.2	214
1018517at2759	Complete	Dbuz00563-RA	304.1	209
1019762at2759	Complete	Dbuz06749-RA	338.4	368
1025450at2759	Complete	Dbuz08926-RA	243.9	301
1030907at2759	Missing
1032689at2759	Complete	Dbuz01764-RA	183.4	148
1038775at2759	Complete	Dbuz03395-RA	185.9	203
1041560at2759	Complete	Dbuz01367-RA	254.8	321
1049599at2759	Complete	Dbuz04795-RA	371.4	332
1051021at2759	Complete	Dbuz11604-RA	337.6	321
1053181at2759	Complete	Dbuz10234-RA	34.8	168
1057950at2759	Complete	Dbuz00173-RA	304.5	227
1065019at2759	Complete	Dbuz07994-RA	313.9	250
1076134at2759	Complete	Dbuz07831-RA	270.8	185
1079130at2759	Fragmented	Dbuz02363-RA	193.7	172
1079827at2759	Complete	Dbuz09551-RA	364.6	223
1085752at2759	Complete	Dbuz01087-RA	234.8	279
1087488at2759	Missing
1090038at2759	Complete	Dbuz08068-RA	170.2	134
1094121at2759	Complete	Dbuz09151-RA	119.5	130
1096688at2759	Complete	Dbuz09348-RA	322.7	210
1106766at2759	Complete	Dbuz01431-RA	191.5	208
1107630at2759	Complete	Dbuz09774-RA	290.5	209
1108845at2759	Complete	Dbuz11678-RA	494.6	330
1111142at2759	Complete	Dbuz05115-RA	258.9	262
1112002at2759	Complete	Dbuz09465-RA	375.0	552
1115196at2759	Fragmented	Dbuz11414-RA	60.9	149
1128607at2759	Complete	Dbuz03665-RA	365.3	251
1129824at2759	Missing
1138059at2759	Complete	Dbuz01569-RA	313.8	208
1157302at2759	Complete	Dbuz03691-RA	347.5	192
1161199at2759	Complete	Dbuz07589-RA	110.2	135
1173229at2759	Missing
1178688at2759	Complete	Dbuz01809-RA	128.9	174
1182451at2759	Complete	Dbuz07044-RA	138.9	166
1193442at2759	Complete	Dbuz06989-RA	338.9	288
1194691at2759	Complete	Dbuz02609-RA	383.0	275
1194797at2759	Complete	Dbuz12429-RA	458.8	420
1197019at2759	Complete	Dbuz04848-RA	101.2	130
1200489at2759	Complete	Dbuz05188-RA	104.3	123
1217666at2759	Complete	Dbuz04228-RA	232.3	177
1220881at2759	Complete	Dbuz04587-RA	134.7	148
1222562at2759	Complete	Dbuz01814-RA	165.0	115
1223488at2759	Complete	Dbuz11010-RA	76.3	111
1228942at2759	Complete	Dbuz02162-RA	187.9	162
1233814at2759	Complete	Dbuz04589-RA	229.9	154
1236198at2759	Duplicated	Dbuz03672-RA	204.9	125
1236198at2759	Duplicated	Dbuz10585-RA	202.8	125
1247641at2759	Complete	Dbuz12404-RA	150.3	185
1248958at2759	Complete	Dbuz02467-RA	656.2	615
1249159at2759	Complete	Dbuz07488-RA	155.8	154
1251252at2759	Complete	Dbuz01616-RA	92.5	90
1257440at2759	Complete	Dbuz08159-RA	171.5	122
1258856at2759	Complete	Dbuz00418-RA	514.7	592
1259741at2759	Complete	Dbuz08740-RA	394.4	215
1260807at2759	Fragmented	Dbuz01597-RA	33.0	119
1264469at2759	Missing
1266231at2759	Complete	Dbuz08703-RA	282.7	188
1269244at2759	Complete	Dbuz01066-RA	88.1	127
1269649at2759	Complete	Dbuz07043-RA	279.4	166
1275837at2759	Complete	Dbuz12167-RA	406.8	243
1284731at2759	Complete	Dbuz07621-RA	99.6	115
1287094at2759	Complete	Dbuz08810-RA	161.1	146
1287401at2759	Complete	Dbuz04614-RA	258.2	162
1291729at2759	Complete	Dbuz12485-RA	64.3	105
1304061at2759	Complete	Dbuz07013-RA	177.8	135
1309031at2759	Complete	Dbuz09335-RA	307.2	345
1312453at2759	Complete	Dbuz00654-RA	594.9	594
1314980at2759	Complete	Dbuz01234-RA	550.0	489
1322299at2759	Complete	Dbuz10900-RA	388.7	377
1322642at2759	Complete	Dbuz12089-RA	181.3	156
1323575at2759	Duplicated	Dbuz09308-RA	169.9	113
1323575at2759	Duplicated	Dbuz11199-RA	157.0	112
1324510at2759	Complete	Dbuz09832-RA	293.3	286
1338131at2759	Complete	Dbuz03097-RA	255.1	140
1339553at2759	Missing
1342242at2759	Complete	Dbuz00548-RA	177.3	183
1346165at2759	Missing
1346432at2759	Complete	Dbuz08285-RA	111.0	187
1348942at2759	Complete	Dbuz05145-RA	122.5	162
1355894at2759	Complete	Dbuz08463-RA	208.5	141
1358374at2759	Complete	Dbuz09149-RA	269.2	203
1364586at2759	Complete	Dbuz07620-RA	116.6	157
1370285at2759	Complete	Dbuz05835-RA	397.8	414
1370304at2759	Complete	Dbuz05702-RA	297.8	501
1377237at2759	Complete	Dbuz07031-RA	145.9	138
1379600at2759	Complete	Dbuz04567-RA	454.6	503
1380409at2759	Complete	Dbuz12642-RA	191.5	161
1382842at2759	Complete	Dbuz04565-RA	129.1	120
1395649at2759	Fragmented	Dbuz08194-RA	13.2	59
1398309at2759	Complete	Dbuz03793-RA	84.0	95
1404162at2759	Complete	Dbuz02616-RA	202.2	190
1405073at2759	Fragmented	Dbuz03124-RA	184.3	134
1405146at2759	Complete	Dbuz02765-RA	133.5	135
1407446at2759	Complete	Dbuz06573-RA	62.6	103
1421503at2759	Complete	Dbuz03313-RA	198.1	111
1423847at2759	Complete	Dbuz06464-RA	257.8	277
1426075at2759	Complete	Dbuz11166-RA	101.2	96
1428265at2759	Missing
1428854at2759	Complete	Dbuz08395-RA	449.0	519
1430056at2759	Complete	Dbuz07149-RA	111.2	133
1432328at2759	Complete	Dbuz11616-RA	238.4	153
1434266at2759	Complete	Dbuz01767-RA	129.6	134
1440961at2759	Missing
1441854at2759	Complete	Dbuz00781-RA	247.8	210
1442062at2759	Complete	Dbuz09052-RA	128.6	211
1445102at2759	Complete	Dbuz11226-RA	288.7	191
1450538at2759	Complete	Dbuz05446-RA	174.5	153
1454155at2759	Complete	Dbuz06526-RA	80.5	134
1455730at2759	Complete	Dbuz10307-RA	463.7	353
1459797at2759	Complete	Dbuz04932-RA	69.8	96
1474000at2759	Complete	Dbuz11047-RA	113.3	166
1479417at2759	Complete	Dbuz08465-RA	300.9	176
1488235at2759	Complete	Dbuz06600-RA	169.3	139
1488436at2759	Complete	Dbuz02159-RA	125.7	62
1490022at2759	Complete	Dbuz06241-RA	220.3	168
1504863at2759	Complete	Dbuz11100-RA	176.9	147
1513531at2759	Complete	Dbuz00087-RA	288.1	209
1525971at2759	Complete	Dbuz04137-RA	107.7	79
1526152at2759	Complete	Dbuz08825-RA	106.8	85
1530008at2759	Complete	Dbuz11293-RA	121.4	88
1538526at2759	Complete	Dbuz08914-RA	134.4	104
1545004at2759	Complete	Dbuz07516-RA	111.4	72
1552706at2759	Complete	Dbuz04256-RA	104.9	92
1558822at2759	Complete	Dbuz07417-RA	118.5	66
1563319at2759	Complete	Dbuz00406-RA	113.3	136
1567796at2759	Complete	Dbuz01923-RA	145.0	132
1575179at2759	Complete	Dbuz02328-RA	49.0	57
1576404at2759	Complete	Dbuz12652-RA	125.5	167
1588798at2759	Complete	Dbuz11480-RA	111.5	99
1593937at2759	Complete	Dbuz08036-RA	107.4	186
1617752at2759	Complete	Dbuz07915-RA	138.7	93
1620056at2759	Complete	Dbuz08800-RA	72.6	87
1623701at2759	Complete	Dbuz12586-RA	133.4	90
1626636at2759	Complete	Dbuz05475-RA	122.6	124
1633672at2759	Complete	Dbuz01646-RA	149.4	83
1645187at2759	Complete	Dbuz05619-RA	50.1	54
